ID,Archetype,Rarity,Card Name,Prompt #,Status,MJ Job ID,Image File,Date Generated,Notes
1,Strikers,Common,Striker Recruit,1,NOT STARTED,,,,First card of batch
2,Strikers,Rare,Striker Vanguard,2,NOT STARTED,,,,
3,Strikers,Epic,Striker Stormreaver,3,NOT STARTED,,,,
4,Strikers,Legendary,Striker Voidbreaker,4,NOT STARTED,,,,
5,Strikers,Omega,Striker Singularity,5,NOT STARTED,,,,
6,Guardians,Common,Guardian Shieldbearer,6,NOT STARTED,,,,
7,Guardians,Rare,Guardian Bulwark,7,NOT STARTED,,,,
8,Guardians,Epic,Guardian Aegis Sentinel,8,NOT STARTED,,,,
9,Guardians,Legendary,Guardian Unyielding,9,NOT STARTED,,,,
10,Guardians,Omega,Guardian Eternity Wall,10,NOT STARTED,,,,
11,Spectres,Common,Spectre Shade,11,NOT STARTED,,,,
12,Spectres,Rare,Spectre Phantom,12,NOT STARTED,,,,
13,Spectres,Epic,Spectre Revenant,13,NOT STARTED,,,,
14,Spectres,Legendary,Spectre Dread,14,NOT STARTED,,,,
15,Spectres,Omega,Spectre Oblivion,15,NOT STARTED,,,,
16,Rogues,Common,Rogue Cutpurse,16,NOT STARTED,,,,
17,Rogues,Rare,Rogue Swiftblade,17,NOT STARTED,,,,
18,Rogues,Epic,Rogue Shadowdancer,18,NOT STARTED,,,,
19,Rogues,Legendary,Rogue Thousand Cuts,19,NOT STARTED,,,,
20,Rogues,Omega,Rogue Paradox,20,NOT STARTED,,,,
21,Conduits,Common,Conduit Spark,21,NOT STARTED,,,,
22,Conduits,Rare,Conduit Channeler,22,NOT STARTED,,,,
23,Conduits,Epic,Conduit Stormweaver,23,NOT STARTED,,,,
24,Conduits,Legendary,Conduit Archon,24,NOT STARTED,,,,
25,Conduits,Omega,Conduit Source,25,NOT STARTED,,,,Last card of batch
,,,,,,,,
STATUS OPTIONS:,,,,,,,,
NOT STARTED - Not yet generated in Midjourney,,,,,,,,
IN PROGRESS - Prompt submitted waiting for result,,,,,,,,
DONE - Image generated and downloaded,,,,,,,,
REDO - Needs regeneration with adjusted prompt,,,,,,,,
APPROVED - Final image selected and ready for import,,,,,,,,
,,,,,,,,
FILE NAMING CONVENTION:,,,,,,,,
[Archetype]_[Rarity]_[Name].png,,,,,,,,
Example: Strikers_Common_StrikerRecruit.png,,,,,,,,
